Name	Tube	Point	Vpsu	Vmin	Vg	Va	Va_Meas	Ia	Ia_Raw	Ia_Gain	Vs	Vs_Meas	Is	Is_Raw	Is_Gain	0.00
1000	5751-gm	1	19.51	-40.10	-5.00	250.00	247.49	0.01	0.00	200.00	250.00	248.30	0.01	0.00	200.00	12.60
1000	5751-gm	2	19.51	-40.10	-4.00	250.00	247.49	0.13	0.00	200.00	250.00	248.30	0.10	0.00	200.00	12.60
1000	5751-gm	3	19.51	-40.10	-3.92	250.00	247.49	0.16	0.00	200.00	250.00	248.30	0.13	0.00	200.00	12.60
1000	5751-gm	4	19.51	-40.10	-3.83	250.00	247.49	0.20	0.00	200.00	250.00	248.30	0.16	0.00	200.00	12.60
1000	5751-gm	5	19.51	-40.10	-3.73	250.00	247.49	0.25	0.00	200.00	250.00	248.30	0.20	0.00	200.00	12.60
1000	5751-gm	6	19.54	-40.10	-3.62	250.00	247.46	0.31	0.00	200.00	250.00	248.28	0.25	0.00	200.00	12.60
1000	5751-gm	7	19.51	-40.10	-3.50	250.00	247.48	0.37	0.00	200.00	250.00	248.30	0.31	0.00	200.00	12.60
1000	5751-gm	8	19.51	-40.10	-3.38	250.00	247.48	0.49	0.27	200.00	250.00	248.30	0.41	0.00	200.00	12.60
1000	5751-gm	9	19.51	-40.10	-3.24	250.00	247.92	0.63	0.27	200.00	250.00	248.29	0.54	0.27	200.00	12.60
1000	5751-gm	10	19.51	-40.10	-3.10	250.00	247.48	0.78	0.54	200.00	250.00	248.29	0.69	0.27	200.00	12.60
1000	5751-gm	11	19.51	-40.10	-2.94	250.00	247.47	0.96	0.81	200.00	250.00	247.85	0.86	0.54	200.00	12.60
1000	5751-gm	12	19.51	-40.10	-2.76	250.00	247.47	1.22	1.09	200.00	250.00	248.28	1.11	0.81	200.00	12.60
1000	5751-gm	13	19.51	-40.10	-2.58	250.00	247.46	1.51	1.09	100.00	250.00	248.28	1.39	1.09	100.00	12.60
1000	5751-gm	14	19.51	-39.98	-2.37	250.00	247.90	1.81	1.63	100.00	250.00	248.27	1.69	1.36	100.00	12.60
1000	5751-gm	15	19.51	-39.98	-2.15	250.00	247.45	2.23	1.90	100.00	250.00	248.27	2.10	1.90	100.00	12.60
1000	5751-gm	16	19.51	-39.98	-1.91	250.00	247.01	2.67	2.44	50.00	250.00	248.26	2.53	2.17	100.00	12.60
1000	5751-gm	17	19.51	-39.98	-1.66	250.00	247.44	3.14	2.99	50.00	250.00	248.25	2.98	2.71	50.00	12.60
1000	5751-gm	18	19.51	-39.98	-1.38	250.00	247.43	3.72	3.26	50.00	250.00	248.24	3.57	3.53	50.00	12.60
1000	5751-gm	19	19.51	-39.98	-1.07	250.00	247.41	4.44	4.07	50.00	250.00	248.23	4.28	4.07	50.00	12.60
1000	5751-gm	20	19.51	-39.98	-0.74	250.00	247.40	5.20	4.89	50.00	250.00	247.77	5.03	4.61	50.00	12.60
1000	5751-gm	21	19.51	-39.98	-0.39	250.00	247.39	5.97	5.70	20.00	250.00	248.20	5.80	5.43	20.00	12.60
1000	5751-gm	22	19.51	-39.86	0.00	250.00	247.37	6.65	6.52	20.00	250.00	248.19	6.48	6.24	20.00	12.60


